MES;Total Exportaciones
1/01/1958;337
1/02/1958;450
1/03/1958;383
1/04/1958;334
1/05/1958;331
1/06/1958;340
1/07/1958;485
1/08/1958;483
1/09/1958;754
1/10/1958;534
1/11/1958;562
1/12/1958;448
1/01/1959;443
1/02/1959;483
1/03/1959;384
1/04/1959;490
1/05/1959;598
1/06/1959;502
1/07/1959;557
1/08/1959;604
1/09/1959;828
1/10/1959;428
1/11/1959;600
1/12/1959;497
1/01/1960;439
1/02/1960;540
1/03/1960;381
1/04/1960;387
1/05/1960;412
1/06/1960;348
1/07/1960;369
1/08/1960;447
1/09/1960;823
1/10/1960;525
1/11/1960;609
1/12/1960;658
1/01/1961;463
1/02/1961;528
1/03/1961;245
1/04/1961;527
1/05/1961;444
1/06/1961;505
1/07/1961;437
1/08/1961;473
1/09/1961;624
1/10/1961;412
1/11/1961;495
1/12/1961;497
1/01/1962;373
1/02/1962;460
1/03/1962;367
1/04/1962;415
1/05/1962;496
1/06/1962;647
1/07/1962;531
1/08/1962;713
1/09/1962;1.119
1/10/1962;411
1/11/1962;495
1/12/1962;534
1/01/1963;310
1/02/1963;253
1/03/1963;472
1/04/1963;560
1/05/1963;471
1/06/1963;470
1/07/1963;557
1/08/1963;752
1/09/1963;770
1/10/1963;882
1/11/1963;449
1/12/1963;187
1/01/1964;554
1/02/1964;614
1/03/1964;444
1/04/1964;760
1/05/1964;579
1/06/1964;196
1/07/1964;429
1/08/1964;401
1/09/1964;815
1/10/1964;434
1/11/1964;665
1/12/1964;520
1/01/1965;275
1/02/1965;465
1/03/1965;490
1/04/1965;440
1/05/1965;482
1/06/1965;519
1/07/1965;527
1/08/1965;705
1/09/1965;221
1/10/1965;547
1/11/1965;557
1/12/1965;424
1/01/1966;487
1/02/1966;571
1/03/1966;273
1/04/1966;658
1/05/1966;481
1/06/1966;344
1/07/1966;473
1/08/1966;532
1/09/1966;517
1/10/1966;173
1/11/1966;434
1/12/1966;621
1/01/1967;323
1/02/1967;524
1/03/1967;458
1/04/1967;396
1/05/1967;511
1/06/1967;539
1/07/1967;506
1/08/1967;631
1/09/1967;517
1/10/1967;509
1/11/1967;493
1/12/1967;688
1/01/1968;556
1/02/1968;585
1/03/1968;380
1/04/1968;570
1/05/1968;499
1/06/1968;601
1/07/1968;618
1/08/1968;665
1/09/1968;431
1/10/1968;468
1/11/1968;589
1/12/1968;624
1/01/1969;239
1/02/1969;477
1/03/1969;657
1/04/1969;404
1/05/1969;648
1/06/1969;705
1/07/1969;383
1/08/1969;479
1/09/1969;860
1/10/1969;375
1/11/1969;555
1/12/1969;696
1/01/1970;534
1/02/1970;620
1/03/1970;788
1/04/1970;463
1/05/1970;579
1/06/1970;687
1/07/1970;316
1/08/1970;434
1/09/1970;828
1/10/1970;248
1/11/1970;443
1/12/1970;570
1/01/1971;397
1/02/1971;429
1/03/1971;654
1/04/1971;386
1/05/1971;515
1/06/1971;744
1/07/1971;346
1/08/1971;845
1/09/1971;754
1/10/1971;342
1/11/1971;520
1/12/1971;637
1/01/1972;604
1/02/1972;637
1/03/1972;389
1/04/1972;487
1/05/1972;529
1/06/1972;525
1/07/1972;524
1/08/1972;549
1/09/1972;743
1/10/1972;286
1/11/1972;521
1/12/1972;733
1/01/1973;538
1/02/1973;437
1/03/1973;544
1/04/1973;559
1/05/1973;526
1/06/1973;526
1/07/1973;340
1/08/1973;443
1/09/1973;801
1/10/1973;383
1/11/1973;595
1/12/1973;1.074
1/01/1974;533
1/02/1974;768
1/03/1974;805
1/04/1974;717
1/05/1974;604
1/06/1974;758
1/07/1974;396
1/08/1974;365
1/09/1974;409
1/10/1974;299
1/11/1974;531
1/12/1974;721
1/01/1975;557
1/02/1975;590
1/03/1975;444
1/04/1975;671
1/05/1975;714
1/06/1975;925
1/07/1975;682
1/08/1975;775
1/09/1975;634
1/10/1975;662
1/11/1975;630
1/12/1975;891
1/01/1976;593
1/02/1976;666
1/03/1976;752
1/04/1976;535
1/05/1976;539
1/06/1976;682
1/07/1976;393
1/08/1976;383
1/09/1976;296
1/10/1976;271
1/11/1976;428
1/12/1976;751
1/01/1977;598
1/02/1977;565
1/03/1977;555
1/04/1977;436
1/05/1977;484
1/06/1977;298
1/07/1977;99
1/08/1977;205
1/09/1977;604
1/10/1977;338
1/11/1977;272
1/12/1977;871
1/01/1978;490
1/02/1978;675
1/03/1978;377
1/04/1978;542
1/05/1978;662
1/06/1978;679
1/07/1978;674
1/08/1978;863
1/09/1978;1.116
1/10/1978;1.054
1/11/1978;1.003
1/12/1978;900
1/01/1979;929
1/02/1979;1.063
1/03/1979;1.165
1/04/1979;680
1/05/1979;867
1/06/1979;939
1/07/1979;952
1/08/1979;1.003
1/09/1979;875
1/10/1979;1.037
1/11/1979;762
1/12/1979;858
1/01/1980;1.086
1/02/1980;1.069
1/03/1980;959
1/04/1980;1.122
1/05/1980;1.125
1/06/1980;964
1/07/1980;1.014
1/08/1980;751
1/09/1980;792
1/10/1980;829
1/11/1980;886
1/12/1980;505
1/01/1981;1.222
1/02/1981;601
1/03/1981;331
1/04/1981;931
1/05/1981;891
1/06/1981;528
1/07/1981;607
1/08/1981;864
1/09/1981;834
1/10/1981;786
1/11/1981;669
1/12/1981;792
1/01/1982;363
1/02/1982;796
1/03/1982;1.047
1/04/1982;682
1/05/1982;660
1/06/1982;725
1/07/1982;867
1/08/1982;717
1/09/1982;885
1/10/1982;695
1/11/1982;522
1/12/1982;898
1/01/1983;681
1/02/1983;878
1/03/1983;636
1/04/1983;764
1/05/1983;918
1/06/1983;666
1/07/1983;624
1/08/1983;1.059
1/09/1983;834
1/10/1983;511
1/11/1983;823
1/12/1983;817
1/01/1984;876
1/02/1984;496
1/03/1984;1.016
1/04/1984;746
1/05/1984;889
1/06/1984;1.249
1/07/1984;548
1/08/1984;816
1/09/1984;1.180
1/10/1984;444
1/11/1984;819
1/12/1984;1.120
1/01/1985;656
1/02/1985;701
1/03/1985;1.162
1/04/1985;877
1/05/1985;989
1/06/1985;838
1/07/1985;910
1/08/1985;786
1/09/1985;347
1/10/1985;865
1/11/1985;745
1/12/1985;1.125
1/01/1986;988
1/02/1986;1.168
1/03/1986;1.192
1/04/1986;587
1/05/1986;894
1/06/1986;852
1/07/1986;753
1/08/1986;1.035
1/09/1986;1.312
1/10/1986;824
1/11/1986;811
1/12/1986;964
1/01/1987;720
1/02/1987;950
1/03/1987;821
1/04/1987;1.005
1/05/1987;1.305
1/06/1987;973
1/07/1987;1.009
1/08/1987;1.012
1/09/1987;1.653
1/10/1987;503
1/11/1987;857
1/12/1987;474
1/01/1988;1.087
1/02/1988;832
1/03/1988;416
1/04/1988;769
1/05/1988;1.142
1/06/1988;850
1/07/1988;1.021
1/08/1988;811
1/09/1988;347
1/10/1988;917
1/11/1988;712
1/12/1988;884
1/01/1989;767
1/02/1989;798
1/03/1989;966
1/04/1989;619
1/05/1989;946
1/06/1989;868
1/07/1989;642
1/08/1989;1.039
1/09/1989;1.115
1/10/1989;960
1/11/1989;1.201
1/12/1989;905
1/01/1990;1.273
1/02/1990;1.254
1/03/1990;1.329
1/04/1990;1.513
1/05/1990;1.159
1/06/1990;1.384
1/07/1990;1.033
1/08/1990;1.006
1/09/1990;723
1/10/1990;785
1/11/1990;1.263
1/12/1990;1.222
1/01/1991;1.057
1/02/1991;1.004
1/03/1991;676
1/04/1991;1.204
1/05/1991;953
1/06/1991;1.189
1/07/1991;847
1/08/1991;1.029
1/09/1991;983
1/10/1991;876
1/11/1991;1.609
1/12/1991;1.168
1/01/1992;1.141
1/02/1992;1.263
1/03/1992;1.059
1/04/1992;1.404
1/05/1992;1.480
1/06/1992;1.689
1/07/1992;1.300
1/08/1992;1.322
1/09/1992;1.158
1/10/1992;1.390
1/11/1992;1.626
1/12/1992;1.737
1/01/1993;1.183
1/02/1993;1.375
1/03/1993;1.190
1/04/1993;1.192
1/05/1993;1.183
1/06/1993;1.011
1/07/1993;906
1/08/1993;836
1/09/1993;906
1/10/1993;1.021
1/11/1993;1.343
1/12/1993;1.428
1/01/1994;880
1/02/1994;863
1/03/1994;845
1/04/1994;990
1/05/1994;1.041
1/06/1994;1.180
1/07/1994;1.195
1/08/1994;1.024
1/09/1994;881
1/10/1994;970
1/11/1994;1.020
1/12/1994;886
1/01/1995;773
1/02/1995;793
1/03/1995;671
1/04/1995;605
1/05/1995;831
1/06/1995;683
1/07/1995;578
1/08/1995;823
1/09/1995;710
1/10/1995;1.046
1/11/1995;1.104
1/12/1995;1.198
1/01/1996;784
1/02/1996;814
1/03/1996;911
1/04/1996;855
1/05/1996;853
1/06/1996;906
1/07/1996;894
1/08/1996;755
1/09/1996;684
1/10/1996;1.025
1/11/1996;1.239
1/12/1996;901
1/01/1997;980
1/02/1997;1.092
1/03/1997;728
1/04/1997;826
1/05/1997;1.130
1/06/1997;919
1/07/1997;800
1/08/1997;629
1/09/1997;931
1/10/1997;742
1/11/1997;854
1/12/1997;1.301
1/01/1998;906
1/02/1998;693
1/03/1998;787
1/04/1998;897
1/05/1998;1.018
1/06/1998;1.030
1/07/1998;1.008
1/08/1998;797
1/09/1998;880
1/10/1998;1.017
1/11/1998;1.016
1/12/1998;1.211
1/01/1999;824
1/02/1999;882
1/03/1999;689
1/04/1999;948
1/05/1999;761
1/06/1999;809
1/07/1999;650
1/08/1999;790
